Seed:  6970573010050763182
Testing 1 Robots
Solution time: 2.4181559085845947s

Testing 2 Robots
Solution time: 11.423500299453735s

Testing 3 Robots
Solution time: 24.515673875808716s

Testing 4 Robots
Solution time: 25.653400659561157s

Testing 5 Robots
Solution time: 22.403390884399414s

Testing 6 Robots
Solution time: 29.757110118865967s

Testing 7 Robots
Solution time: 30.39251160621643s

Testing 8 Robots
Solution time: 34.0175039768219s

Testing 9 Robots
Solution time: 58.51675248146057s

Testing 10 Robots
Solution time: 88.6158812046051s

Testing 11 Robots
Solution time: 179.78242802619934s

Testing 12 Robots
Timeout
