Seed:  3823728549676512137
Testing 1 Robots
Solution time: 0.1936962604522705s

Testing 2 Robots
Solution time: 0.316403865814209s

Testing 3 Robots
Solution time: 1.9461679458618164s

Testing 4 Robots
Solution time: 4.244962453842163s

Testing 5 Robots
Solution time: 1.4723773002624512s

Testing 6 Robots
Solution time: 6.088480710983276s

Testing 7 Robots
Solution time: 5.107854843139648s

Testing 8 Robots
Solution time: 2.113041639328003s

Testing 9 Robots
Solution time: 2.7638092041015625s

Testing 10 Robots
Solution time: 2.8020896911621094s

Testing 11 Robots
Solution time: 7.14274787902832s

Testing 12 Robots
Solution time: 4.803836822509766s

Testing 13 Robots
Solution time: 13.677422046661377s

Testing 14 Robots
Solution time: 7.697317123413086s

Testing 15 Robots
Solution time: 8.321648836135864s

Testing 16 Robots
Solution time: 6.8188934326171875s

Testing 17 Robots
Solution time: 7.798903465270996s

Testing 18 Robots
Solution time: 12.011558532714844s

Testing 19 Robots
Solution time: 13.860728979110718s

Testing 20 Robots
Solution time: 10.052478790283203s

Testing 21 Robots
Solution time: 13.397709608078003s

Testing 22 Robots
Solution time: 14.481400489807129s

Testing 23 Robots
Solution time: 26.428187608718872s

Testing 24 Robots
Solution time: 15.721898078918457s

Testing 25 Robots
Solution time: 19.29397225379944s

Testing 26 Robots
Solution time: 18.410475969314575s

Testing 27 Robots
Solution time: 31.10887122154236s

Testing 28 Robots
Solution time: 20.48534917831421s

Testing 29 Robots
Solution time: 42.37257766723633s

Testing 30 Robots
Solution time: 26.42345428466797s

Testing 31 Robots
Solution time: 52.59399890899658s

Testing 32 Robots
Solution time: 26.93908667564392s

Testing 33 Robots
Solution time: 26.279993772506714s

Testing 34 Robots
Solution time: 17.104811429977417s

Testing 35 Robots
Solution time: 31.287171602249146s

Testing 36 Robots
Solution time: 66.8458559513092s

Testing 37 Robots
Timeout
