Seed:  5508058000380791505
Testing 1 Robots
Solution time: 0.13933730125427246s

Testing 2 Robots
Solution time: 0.1872262954711914s

Testing 3 Robots
Solution time: 0.23976993560791016s

Testing 4 Robots
Solution time: 1.746549367904663s

Testing 5 Robots
Solution time: 1.4099526405334473s

Testing 6 Robots
Solution time: 2.856755256652832s

Testing 7 Robots
Solution time: 3.138822555541992s

Testing 8 Robots
Solution time: 2.2867074012756348s

Testing 9 Robots
Solution time: 3.2548701763153076s

Testing 10 Robots
Solution time: 9.726548194885254s

Testing 11 Robots
Solution time: 17.69623374938965s

Testing 12 Robots
Solution time: 6.033199071884155s

Testing 13 Robots
Solution time: 10.37980031967163s

Testing 14 Robots
Solution time: 17.384126663208008s

Testing 15 Robots
Solution time: 73.38521242141724s

Testing 16 Robots
Solution time: 54.27646446228027s

Testing 17 Robots
Solution time: 26.608308792114258s

Testing 18 Robots
Solution time: 21.189497470855713s

Testing 19 Robots
Solution time: 19.40378475189209s

Testing 20 Robots
Solution time: 39.72398495674133s

Testing 21 Robots
Solution time: 38.11208367347717s

Testing 22 Robots
Solution time: 48.386598348617554s

Testing 23 Robots
Solution time: 90.6631236076355s

Testing 24 Robots
Solution time: 33.988073110580444s

Testing 25 Robots
Solution time: 27.938923120498657s

Testing 26 Robots
Solution time: 33.75945234298706s

Testing 27 Robots
Timeout
