Seed:  8367692115761217813
Testing 1 Robots
Solution time: 1.078284740447998s

Testing 2 Robots
Solution time: 1.5481297969818115s

Testing 3 Robots
Solution time: 2.2779037952423096s

Testing 4 Robots
Solution time: 3.374523639678955s

Testing 5 Robots
Solution time: 3.503065824508667s

Testing 6 Robots
Solution time: 6.043978452682495s

Testing 7 Robots
Solution time: 5.170543909072876s

Testing 8 Robots
Solution time: 6.152936220169067s

Testing 9 Robots
Solution time: 5.644143104553223s

Testing 10 Robots
Solution time: 6.7737812995910645s

Testing 11 Robots
Solution time: 7.7188169956207275s

Testing 12 Robots
Solution time: 7.687921524047852s

Testing 13 Robots
Solution time: 9.988783121109009s

Testing 14 Robots
Solution time: 9.887018203735352s

Testing 15 Robots
Solution time: 10.318433046340942s

Testing 16 Robots
Solution time: 10.358912706375122s

Testing 17 Robots
Solution time: 11.939519882202148s

Testing 18 Robots
Solution time: 12.482539653778076s

Testing 19 Robots
Solution time: 19.651950120925903s

Testing 20 Robots
Solution time: 13.109230995178223s

Testing 21 Robots
Solution time: 15.214147329330444s

Testing 22 Robots
Solution time: 17.277629613876343s

Testing 23 Robots
Solution time: 16.37661075592041s

Testing 24 Robots
Solution time: 18.810306787490845s

Testing 25 Robots
Solution time: 16.86700177192688s

Testing 26 Robots
Solution time: 20.353482484817505s

Testing 27 Robots
Solution time: 23.04592728614807s

Testing 28 Robots
Solution time: 22.54349446296692s

Testing 29 Robots
Solution time: 25.130061388015747s

Testing 30 Robots
Solution time: 24.742887496948242s

Testing 31 Robots
Solution time: 28.14806318283081s

Testing 32 Robots
Solution time: 30.025148391723633s

Testing 33 Robots
Solution time: 28.540873527526855s

Testing 34 Robots
Solution time: 33.7681245803833s

Testing 35 Robots
Solution time: 30.066371202468872s

Testing 36 Robots
Solution time: 31.75916600227356s

Testing 37 Robots
Solution time: 43.67769002914429s

Testing 38 Robots
Timeout
